instant,season_1,season_2,season_3,season_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weathersit_1,weathersit_2,weathersit_3,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,temp,atemp,hum,windspeed,holiday,workingday,yr,cnt
71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.33647885965574653,0.32380132796658134,0.6113964010282775,0.40897760803411787,0,0,0,2132
72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.40523709448266915,0.39513122674667095,0.5423043701799485,0.5117027125702964,0,0,0,2417
73,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.3315569657508456,0.33200529674477025,0.5110097686375321,0.2361184840249258,0,1,0,2046
74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.3218053855736922,0.3138620557124301,0.6741922879177378,0.33380103089999347,0,1,0,2056
75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.3813989293447801,0.37785563745231204,0.798480205655527,0.3725747122124109,0,1,0,2192
76,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.44343099118470114,0.4348279345530688,0.6199660668380462,0.3858964651176023,0,1,0,2744
77,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5991871274157465,0.5879809363393026,0.5400688946015424,0.43009202976964417,0,1,0,3239
78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.515078813850982,0.5085875207265068,0.3898889460154242,0.7128339689443595,0,0,0,3117
79,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3406319412722112,0.32380132796658134,0.487146529562982,0.3820661003856547,0,0,0,2471
80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.4626637588865106,0.4340429788203717,0.7582426735218509,0.5491796772969253,0,1,0,2077
81,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.4766593822636875,0.474612588904769,0.6422447300771208,0.41923383222219085,0,1,0,2703
82,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35864607296414897,0.33980103603655637,0.863305912596401,0.436779706406048,0,1,0,2121
83,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.28144460950441386,0.25171535142389395,0.8286200514138817,0.456418056479532,0,1,0,1865
84,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2554856688156029,0.2326545785234011,0.5089974293059125,0.4294900564102639,0,1,0,2210
85,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2575615865992903,0.23430718599407951,0.4053131105398457,0.3858799726967974,0,0,0,2496
86,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2416246187401297,0.2248142096414616,0.5078796915167095,0.3337824769265879,0,0,0,1693
87,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.25571120370086553,0.23431112389909298,0.310718766066838,0.39130804069422376,0,1,0,2028
88,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.30325046857676025,0.28069176914845695,0.3230508997429306,0.4218025267625605,0,1,0,2425
89,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.30013534585213936,0.2865224938384913,0.6649532133676093,0.31025603864833895,0,1,0,1536
90,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.26067670932391124,0.23431243653409756,0.9443012853470436,0.4025270099467852,0,1,0,1685
91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.30013534585213936,0.26828211781581734,0.705655526992288,0.48717848283334847,0,1,0,2227
92,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3188260821998648,0.3105266501659696,0.6722365038560412,0.3602651816341227,0,0,0,2252
93,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3977421092072312,0.39339329800069944,0.49357326478149094,0.3294800166490989,0,0,0,3249
94,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.640721681727662,0.6088780856111051,0.4383033419023136,0.7487132304055095,0,1,0,3115
95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4423930322928575,0.41909862929402286,0.6602395886889459,0.7538588656966513,0,1,0,1795
96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.41331772283033574,0.40499830407557424,0.48414704370179945,0.4961565444090384,0,1,0,2808
97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.47146709570628936,0.46549502616344096,0.6199660668380462,0.28845305834420626,0,1,0,3141
98,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.34478502288867574,0.3221329688758489,0.8598971722365039,0.421794280552158,0,1,0,1471
99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.35309243217069486,0.344513395702748,0.9023136246786632,0.22819593738075206,0,0,0,2455
100,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.45796864591596204,0.4563603991670543,0.8817480719794344,0.2564062231676045,0,0,0,2895
101,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6685322513639878,0.6381340945916287,0.7372298200514139,0.622758551165571,0,1,0,3348
102,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5524602865464329,0.5434104147611583,0.7600688946015424,0.520515849937937,0,1,0,2034
103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.44031586846008025,0.4439507478344148,0.8423311053984576,0.4704984607417509,0,1,0,2162
104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5088485684017402,0.5036218225044446,0.5556987146529563,0.1820522055211265,0,1,0,3267
105,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.48288962771292926,0.47628094799550136,0.6902313624678663,0.4205223025975769,1,0,0,3126
106,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.46315968642427024,0.4547261685864391,0.9134529562982006,0.6564319513440602,0,0,0,795
107,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4953501186114129,0.4812466462175635,0.493144473007712,0.5795113007098133,0,0,0,3744
108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5649207774449164,0.5566575272266753,0.5578406169665809,0.29104030685798155,0,1,0,3429
109,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5566133681628974,0.5384276522840374,0.6846611825192802,0.279503858504925,0,1,0,3204
110,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6677198273574064,0.6370511707129078,0.6315341902313625,0.4525794455371819,0,1,0,3944
111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.4984652413360338,0.4920050027145293,0.41859434447300764,0.6243748084044553,0,1,0,4189
112,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3458242278296093,0.31881856548946064,0.7502138817480719,0.4063924210729433,0,1,0,1683
113,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4995032002278775,0.4870550561125212,0.9130251928020565,0.4294900564102639,0,0,0,4036
114,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6511062548424583,0.6204739032409484,0.833761439588689,0.35001720365645217,0,0,0,4191
115,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6822574820886673,0.6503192853384971,0.7986293059125964,0.335912060763026,0,1,0,4073
116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.7134087093348764,0.6760246166318207,0.749786118251928,0.6269352567344224,0,1,0,4400
117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6988710546036155,0.6511619970113928,0.8590406169665809,0.5974550545455896,0,1,0,3872
118,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6957559318789948,0.6561329457734729,0.7206508997429306,0.6154070545917683,0,1,0,4058
119,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5618056547202956,0.5491978224960438,0.4700082262210797,0.4487408345948318,0,1,0,4595
120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.515078813850982,0.5053006826752132,0.5175660668380463,0.4384578102229508,0,0,0,5312
121,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.48911987316217104,0.4845387348088751,0.7836329048843187,0.17309269791884202,0,0,0,3351
122,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6106096594223864,0.59562572260557,0.7506426735218509,0.3320384034264654,0,1,0,4401
123,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.694717972987151,0.66026774603768,0.7167948586118251,0.6602643776286085,0,1,0,4451
124,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4423930322928575,0.4273682298224373,0.7579259640102828,0.6320808920255642,0,1,0,2633
125,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.4984652413360338,0.47628619853551946,0.45672699228791774,0.5628044784344075,0,1,0,4433
126,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.523386223133001,0.5185530456807483,0.6066838046272492,0.4243794675133326,0,1,0,4608
127,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5742661456187793,0.5690947438944096,0.5565552699228792,0.2846144474018562,0,0,0,4714
128,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5846494726844856,0.577380096042878,0.6495290488431876,0.1077074648613513,0,0,0,4333
129,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5898417592418838,0.585666760826351,0.6053984575835475,0.3166715903414612,0,1,0,4362
130,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5898417592418838,0.5823523574399627,0.5029994858611825,0.19230018349879702,0,1,0,4803
131,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.6023022501403674,0.5898068116305762,0.6508143958868894,0.2025481614764675,0,1,0,4182
132,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5929568819665048,0.5831950691128583,0.7686375321336761,0.344846829734103,0,1,0,4864
133,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5649207774449164,0.545045957976778,0.8877460154241645,0.32435087377876204,0,1,0,4105
134,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.575304104510623,0.553353624920323,0.948586118251928,0.23204485608610526,0,0,0,3409
135,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6272232319373346,0.599782837664854,0.8916020565552699,0.2692125879226415,0,0,0,4553
136,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6459139682850602,0.6188317968503061,0.8101974293059125,0.21538957262571506,0,1,0,3958
137,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.626185273045491,0.6031024915912603,0.8616113110539846,0.5256181926244657,0,1,0,4123
138,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6116476183142302,0.5881765189549746,0.8946015424164524,0.3692246892364071,0,1,0,3855
